year,category,note
2019,Plant observations,Tatsoi began to bolt week of May 26th
2019,Infrastructure,Don't mound dirt next to potatoes; find another spot
2019,Garden layout,Potatoes did well in apple beds
2019,Plant choices,Think about doing a higher-yield zucchini next year
2019,Infrastructure,"Apple terrace beds are sloped, small seeds don't work well."
2019,Soil,Sunflower bed needs compost
2019,Plant choices,Choose different broccoli variety. This year was low yield with large first heads
2019,Garden layout,Zuccs did well in apple bed
2019,Garden layout,Butternut squash is yellow and not producing well in raised beds
2019,Garden layout,Sugar snaps did well in raised beds
2019,Infrastructure,Cucumbers need to be trellised from the start
2019,Plant observations,Indeterminant tomato plants stretch FAR and WIDE
2019,Water,Late summer seeding successions - experiment with watering
2019,Plant choices,Nasturtiums - not plant again
2019,Garden layout,Plant hyssop in apple terrace beds
2019,Plant observations,"Collards did not grow well, possibly for lack of space, lack of interest"
2019,Harvest,Harvest turnips through growing season. Don't wait until when they're all huge
2019,Garden layout,"Apple terrace bed successes: bus heans, zucchini, potatoes"
2019,Planting,"Plant successions earlier, if possible. Carrots planted 8/28 may not have time to mature"
2019,Planting,Don't plant basil with indeterminant tomatoes because they take over
2019,Pest,"Greens bed (#5) had black and yellow beetle, eating collards and kale"
2019,Pest,Aphids were heavy on carrots and kale - we sprayed with dish soap
2019,Garden layout,Remove hyssop from bed #7
2019,Plant choices,"Ask Margaret about globe squash, consider planting next year"
2019,Garden layout,"Apple terrace bed, plant big seeds or starter plants, no small seeds"
2019,Garden layout,Plant onion and sugar snaps in apple terrace bed
2019,Harvest,"Harvest mints and lemon balm more often, and plan for harvesting herbs"
2019,Infrastructure,Mulch strawberries
2019,Plant choices,"Snap peas and spinach were both great. Fast season, replant for a second succession"
2019,Plant choices,Sungold cherry tomatoes were DELICIOUS and FRUITFUL
2019,Plant choices,"Nepal tomatoes were fine, not outstanding"
2019,Plant choices,"Zebra Green tomatoes were a fun alternative, grew well, big harvest, delicious"
2019,Plant choices,"Speckled Roman Paster tomatoes were great for sauce, grew well, will grow again"
2019,Plant choices,"Brandywine tomatoes were very juicy, not ideal for sauce, split and molded easily, not outstanding"
2019,Plant choices,"Sweeties cherry tomatoes were not flavorful, grown in apple terrace beds."
2019,Plant choices,Basil grew well when we pulled out the tomato plant it needs spce. Did well from seed. Harvest fully more often. Do not plant with indeterminant tomato.
2019,Plant choices,Butternut squash produced a small harvest. Didn't have enough time to fully mature. Plant it earlier or not at all.
2019,Plant choices,Oregano never came up
2019,Infrastructure,Fencing needed - Eoise ate tomatoes in sunflower bed and plants in the apple terrace
2020,Pest,"An animal burrowed into the kale bed, and snuck under the metal siding. We never figured out who it was, but it also did not seem to happen again after we stacked rocks against the metal fence."
2020,Pest,Unknown beetle showed up in the raspberries in October
2020,Pest,"New pest on chard – small, black, flying, jumping bug – Annaliese identified it as flea beetle"
2020,Pest,Cucumber beetles decimated the woman melon
2020,Pest,"Cucumber beetles were certainly present, but they didn’t noticeably destroy any plant (other than melon). This may be because we planted nasturtium with cucurbits in Bed #1"
2020,Pest,"Cucumber beetle deterrent: 1) Cucumber beetles often overwinter near to the previous years’ cucurbit crop. So, one way to reduce pest problems the next year is to plant cucurbits as far away from last year’s crop as possible. 2) Apply straw mulch around cucurbits to encourage predator spiders and to keep beetles off of soil where they lay eggs. 3) Intercrop with radish, nasturtium, tansy, buckwheat, cowpea or sweet clover"
2020,Pest,Regular harvest of greens kept the bugs away
2020,Plant observations,Basil seeds in herb garden did not sprout. Probably not enough sprinkler soakage. 
2020,Plant observations,Be patient with basil growth. It’s really growing well in late august.
2020,Plant observations,Basil plants companion planted with tomatoes are shaded out by tomato plants
2020,Planting,"Plant basil seeds indoor early and plant basil by seed, but designate a chunk of a bed so that we can grow more basil"
2020,Plant observations,Dill seeds did not sprout in tomato bed. Shaded out by tomato plants?
2020,Infrastructure,"Work done to herb garden: removed one big sage and one big savory, and we raised the sprinkler heads by attaching them to rebar posts. This broadened the reach of the water—before the water was mostly getting blocked by the large savory and sage plants."
2020,Planting,One good planting of turnips is enough – no second succession
2020,Planting,Plant second succession of beets earlier – June?
2020,Planting,Need to work on successful second planting of carrots – try row cover
2020,Planting,Our second succession of carrots failed this year; they may have been eaten by grasshoppers
2020,Planting,Only plant lettuce in spring—no second succession
2020,Planting,Second succession struggled this year. Next year try row cover after planting second succession of seeds.
2020,Infrastructure,Use basement rather than garage for drying & curing
2020,Infrastructure,Raise terrace sprinklers for potatoes
2020,Infrastructure,Test sprinklers weekly in strawberry zone to check for clogs
2020,Planting,"Start tomatoes earlier, and move to bigger pots "
2020,Plant observations,Tomatoes take up a lot of space – companion plants are struggling
2020,Plant observations,Prune tomato plants earlier in the summer to give more energy to existing fruit; this summer we pruned tomatoes on 8/29
2020,Plant choices,Cherokee purple tomatoes do not produce much and are not especially delicious
2020,Plant choices,Sweetie tomatoes in Apple Terrace volunteered this year—they only became delicious and sweet after the first light frost.
2020,Infrastructure,"26 degree temps in forecast, September 8th. We covered 4 tomato plants with brutes and a sheet of plastic. We left the cover on for a few days after the cold weather passed. The tomato plants lived, but the resulting tomatoes were scarred and soft—maybe we “cooked” them under all the plastic?"
2020,Plant observations,Let fingerlings grow longer
2020,Plant observations,Try growing potatoes with straw method
2020,Plant observations,Plant peppers closer together—they stayed pretty small and compact 
2020,Garden layout,A full bed of cucumbers is too much. A half bed is enough!
2020,Plant observations,Overwintered chard was good for spring picking
2020,Garden layout,Winter squash grown in raised beds ripened better than the plants grown in the apple bed. More sun in raised beds.  
2020,Garden layout,Plant tatsoi further apart
2020,Garden layout,Parsnips will shade out any smaller plants—do not plant smaller plants between two rows of parsnips
2020,Garden layout,Dahlias need more sun; they were shaded out by tomato plants this year. Maybe plant in quince bed?
2020,Planting,Give squash longer grow season -  plant earlier in spring and use row cover
2020,Plant observations,"Chesnock garlic scaped; other garlic also scaped, but I did not take note of which!"
2020,Plant observations,"Tatsoi started bolting May 23rd, so we fully harvested this first succession"
2020,Harvest,"When we harvested winter squash, were they flavorful? If not, maybe need to prune vines?"
2020,Plant observations,First planting of turnips did not develop. The root looked more like a small carrot.
2020,Soil,We turned goat poop into all beds and added winter rye as cover crop at the end of the season